"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"Phytosphingosine-1-P",0.04019,0.015301,-0.037705,-0.07708,0.093265,0.13869,0.037245,-0.022387,0.10471,0.10051,-0.064754,-0.0091207,0.03856,0.089545,0.032756,0.022295,0.082408,-0.10881,0.050884,0.019051
"Stanozolol",-0.014334,-0.00028611,-0.014655,0.036402,-0.046294,0.051102,0.030373,0.063283,0.15669,0.053174,0.19171,-0.1118,-0.052586,-0.086606,-0.14455,0.081131,0.05377,0.12077,-0.16891,0.012987
"Leucyl-Valine",0.00643,-0.023466,-0.19094,0.012381,0.039181,0.092079,-0.0059213,-0.0026496,-0.06529,-0.053078,-0.047266,-0.0042368,0.030035,0.040849,0.00092375,-0.042434,-0.016893,-0.031333,0.053914,-0.016459
"Cinchonidine",0.016764,-0.013295,0.025761,-0.12595,0.14012,-0.083175,-0.11304,0.034859,-0.081188,0.020471,0.096786,-0.018991,-0.0096459,-0.017217,-0.032875,0.020657,-0.010173,-0.023537,0.024214,-0.017364
"Gulonic acid",0.054827,0.0146,-0.030968,-0.082289,0.10239,0.10458,0.056083,-0.081496,0.0075896,-0.0068417,-0.089088,0.039831,0.01855,0.064267,0.10279,-0.0090629,0.019877,0.10264,0.0024969,0.00046707
"11b-Hydroxyandrost-4-ene-3,17-dione",0.034679,0.01162,0.0014184,-0.0099614,0.03006,0.0042571,0.099572,-0.17635,-0.023019,0.0076959,0.030953,0.052999,-0.017333,0.27161,0.084278,0.078472,0.0014011,0.064166,0.011207,-0.0036445
"Oleoylethanolamide",0.010697,-0.068868,0.041878,-0.102,0.080728,-0.031438,-0.066657,0.026554,-0.094969,-0.10292,-0.025288,0.015632,-0.11306,-0.080642,0.016419,0.20542,0.011563,-0.084234,-0.13935,0.013229
"3-Nitrotyrosine",0.062536,0.040855,-0.019681,0.068588,-0.099786,0.01363,-0.027559,0.069214,-0.13266,-0.068878,-0.064464,0.019562,0.084987,0.045825,-0.029862,-0.03831,-0.022553,0.036215,-0.042642,-0.0069937
"Deoxycholic acid glycine conjugate",0.033593,0.0079872,-0.0087872,-0.145,-0.028172,-0.10727,-0.14287,0.040496,-0.044671,0.016014,-0.075036,-0.062305,0.00085853,0.016723,-0.041581,-0.028789,0.021835,0.087878,-0.014435,-0.0020454
"Butyrylcarnitine",-0.055914,-0.0019351,-0.043502,-0.01912,0.0069097,0.19594,-0.012495,0.026759,-0.094118,-0.041007,-0.061772,0.041175,0.056784,0.033116,0.011993,-0.045275,-0.039748,-0.010895,0.0364,0.015524
"Glycyl-Isoleucine",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.00030645
"Cyclohexylamine",-0.068602,0.13627,0.0027886,0.034318,0.03047,-0.010545,-0.032547,-0.016531,0.02192,0.017817,0.011202,0.086527,0.032222,-0.018073,-0.016992,0.0034966,0.01696,0.051892,0.005931,-0.0022161
"Betulin",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.00030645
"4-Pyridoxic acid",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"L-Dihydroorotic acid",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.00030645
"Isomaltose",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0023373
"Cer(d18:1/16:0)",0.022883,-0.032162,0.031501,-0.011058,0.012325,-0.076128,0.17199,-0.10571,-0.012065,-0.093628,-0.076228,0.073739,0.01619,0.040079,0.021226,0.21125,-0.006141,-0.037303,-0.16482,0.010601
"Oxoadipic acid",0.057122,0.012776,0.011953,0.00050588,0.024125,-0.09096,0.091296,0.092122,0.03031,-0.032772,-0.038808,0.007037,0.12826,-0.075421,-0.089696,-0.058814,-0.024576,-0.26063,0.0043554,-0.011397
"Estrone",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"Corticosterone",-0.031823,-0.066051,-0.00052656,-0.13088,-0.03695,-0.026374,-0.022339,0.081068,0.0093828,-0.065393,-0.059801,0.07998,-0.16677,0.078961,-0.051415,0.10335,-0.11333,-0.041632,-0.0945,0.015877
"Hydroxyacetone",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"L-Cystine",0.00016669,0.030786,-0.061131,-0.16157,-0.14004,-0.044499,0.056404,-0.028598,-0.033052,0.025776,-0.038354,-0.052079,-0.036323,-0.028515,-0.034079,0.045481,-0.020288,-0.033531,-0.020274,-0.0065011
"DL-Homocystine",0.053364,0.05098,0.060943,0.08502,0.070711,0.029527,0.0043738,-0.079043,-0.076141,0.11753,0.03428,0.0036719,0.061994,-0.1035,-0.010984,-0.087751,0.10969,-0.0028561,-0.061282,-0.0071314
"Creatinine",-0.026201,-0.022751,-0.17768,0.052496,0.07643,-0.079645,0.0073782,-0.0042029,0.022637,-0.05348,-0.045548,-0.027664,-0.00026479,-0.033272,-0.0048289,0.015446,0.012894,0.010252,-0.035176,-0.034644
"5'-Methylthioadenosine",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.0030598
"Aminoadipic acid",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.00030645
"Cortexolone",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.00030645
"N-Acetyl-L-tyrosine",0.049012,0.0070933,-0.024618,-0.12187,0.13394,0.095926,-0.042229,-0.019321,0.021092,0.026685,-0.076487,-0.013711,0.053314,0.023546,0.010502,-0.025261,0.035782,-0.0086131,-0.003426,-0.0063096
"Glycylvaline",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"Deoxyguanosine",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0047587
"Maltol",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.00030645
"Chenodeoxycholic acid",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"Cer(d18:0/18:0)",-0.0073746,-0.012539,0.11197,0.038199,0.04568,-0.033276,0.16302,0.021021,0.016355,-0.06647,-0.016948,-0.073355,-0.12166,0.068419,-0.11745,-0.10727,-0.0043367,0.14657,0.094553,0.032666
"Monoethylhexyl phthalic acid",-0.074086,0.095575,-0.051122,0.0012468,-0.024644,-0.023667,-0.056593,-0.025637,0.0037106,0.078126,0.0107,0.079827,-0.037023,-0.015107,0.05489,-0.023958,-0.091513,0.046885,0.025104,0.0056016
"Methylguanidine",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.00030645
"Temazepam",-0.079403,0.11108,-0.021283,-0.018491,-0.00073085,-0.028086,-0.0044289,-0.018404,-0.0016559,0.044311,0.014617,0.020422,0.05062,-0.028736,0.01934,-0.068898,-0.010059,0.0025521,-0.082442,0.0010611
"Piplartine",-0.066115,0.016263,-0.077776,0.031154,0.004894,-0.046717,0.0084538,-0.099193,-0.048926,0.10734,0.065088,0.13844,0.050711,-0.011574,-0.0059574,-0.029031,0.05192,-0.012578,-0.1049,-0.03244
"Leucylalanine",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.00030645
"Prolylhydroxyproline",-0.0062092,-0.010713,-0.024128,-0.14226,0.15675,0.12325,-0.051006,-0.0054396,-0.043337,0.0012116,-0.00028424,0.0038436,0.018276,-0.0019914,0.017543,-0.011776,-0.0036901,0.054223,0.0065392,-0.00078536
"Deoxyinosine",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.0023373
"Deoxyadenosine",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.00030645
"2,6-Dimethylaniline",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.00030645
"Leucyl-Glycine",-0.0012962,0.02911,-0.058938,-0.00076841,-0.015735,0.18429,0.016151,0.13858,-0.16581,-0.042608,-0.0052385,0.056711,0.058799,-0.0015713,0.027136,-0.013563,-0.023717,0.060738,0.030018,0.017933
"Stearic acid",0.008515,0.043792,0.096352,0.048078,0.071912,0.0037448,0.18509,0.0033417,-0.02413,-0.016374,-0.044144,-0.15306,-0.068692,0.018465,-0.04356,0.051865,0.084105,0.049145,0.098043,0.024812
"p-Anisidine",-0.074274,0.11286,-0.062405,0.045023,0.026844,-0.026676,-0.018949,-0.029362,0.0095381,0.020893,0.010617,0.035376,-0.0031648,0.0075936,0.040282,0.0045667,-0.020839,0.023041,-0.0062393,-0.0054053
